Disease,common_symptoms,Description
(vertigo) paroymsal  positional vertigo," headache,  loss_of_balance,  nausea,  spinning_movements,  unsteadiness,  vomiting",Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
acne," blackheads,  pus_filled_pimples,  scurring,  skin_rash","Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
aids," extra_marital_contacts,  high_fever,  muscle_wasting,  patches_in_throat","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
alcoholic hepatitis," abdominal_pain,  distention_of_abdomen,  fluid_overload,  history_of_alcohol_consumption,  swelling_of_stomach,  vomiting,  yellowish_skin","Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
allergy," chills,  continuous_sneezing,  shivering,  watering_from_eyes","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
arthritis," movement_stiffness,  muscle_weakness,  painful_walking,  stiff_neck,  swelling_joints","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
bronchial asthma," breathlessness,  cough,  family_history,  fatigue,  high_fever,  mucoid_sputum","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
cervical spondylosis," back_pain,  dizziness,  loss_of_balance,  neck_pain,  weakness_in_limbs","Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
chicken pox," fatigue,  headache,  high_fever,  lethargy,  loss_of_appetite,  malaise,  mild_fever,  red_spots_over_body,  skin_rash,  swelled_lymph_nodes, itching","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
chronic cholestasis," abdominal_pain,  loss_of_appetite,  nausea,  vomiting,  yellowing_of_eyes,  yellowish_skin, itching","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
common cold," chest_pain,  chills,  congestion,  continuous_sneezing,  cough,  fatigue,  headache,  high_fever,  loss_of_smell,  malaise,  muscle_pain,  phlegm,  redness_of_eyes,  runny_nose,  sinus_pressure,  swelled_lymph_nodes,  throat_irritation","The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
dengue," back_pain,  chills,  fatigue,  headache,  high_fever,  joint_pain,  loss_of_appetite,  malaise,  muscle_pain,  nausea,  pain_behind_the_eyes,  red_spots_over_body,  skin_rash,  vomiting","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
diabetes," blurred_and_distorted_vision,  excessive_hunger,  fatigue,  increased_appetite,  irregular_sugar_level,  lethargy,  obesity,  polyuria,  restlessness,  weight_loss","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
dimorphic hemorrhoids(piles)," bloody_stool,  constipation,  irritation_in_anus,  pain_during_bowel_movements,  pain_in_anal_region","Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
drug reaction," burning_micturition,  skin_rash,  spotting_ urination,  stomach_pain, itching",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
fungal infection," dischromic _patches,  nodal_skin_eruptions,  skin_rash, itching","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
gastroenteritis," dehydration,  diarrhoea,  sunken_eyes,  vomiting","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
gerd," acidity,  chest_pain,  cough,  stomach_pain,  ulcers_on_tongue,  vomiting","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
heart attack," breathlessness,  chest_pain,  sweating,  vomiting","The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
hepatitis a," abdominal_pain,  dark_urine,  diarrhoea,  joint_pain,  loss_of_appetite,  mild_fever,  muscle_pain,  nausea,  vomiting,  yellowing_of_eyes,  yellowish_skin",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
hepatitis b," abdominal_pain,  dark_urine,  fatigue,  lethargy,  loss_of_appetite,  malaise,  receiving_blood_transfusion,  receiving_unsterile_injections,  yellow_urine,  yellowing_of_eyes,  yellowish_skin, itching","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
hepatitis c," family_history,  fatigue,  loss_of_appetite,  nausea,  yellowing_of_eyes,  yellowish_skin","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
hepatitis d," abdominal_pain,  dark_urine,  fatigue,  joint_pain,  loss_of_appetite,  nausea,  vomiting,  yellowing_of_eyes,  yellowish_skin","Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
hepatitis e," abdominal_pain,  acute_liver_failure,  coma,  dark_urine,  fatigue,  high_fever,  joint_pain,  loss_of_appetite,  nausea,  stomach_bleeding,  vomiting,  yellowing_of_eyes,  yellowish_skin",A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
hypertension," chest_pain,  dizziness,  headache,  lack_of_concentration,  loss_of_balance","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
hyperthyroidism," abnormal_menstruation,  diarrhoea,  excessive_hunger,  fast_heart_rate,  fatigue,  irritability,  mood_swings,  muscle_weakness,  restlessness,  sweating,  weight_loss","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
hypoglycemia," anxiety,  blurred_and_distorted_vision,  drying_and_tingling_lips,  excessive_hunger,  fatigue,  headache,  irritability,  nausea,  palpitations,  slurred_speech,  sweating,  vomiting", Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
hypothyroidism," abnormal_menstruation,  brittle_nails,  cold_hands_and_feets,  depression,  dizziness,  enlarged_thyroid,  fatigue,  irritability,  lethargy,  mood_swings,  puffy_face_and_eyes,  swollen_extremeties,  weight_gain","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
